1	рядом	рядом	ADV	_	Degree=Pos	_	_	_	@dig1967m-words#@dig1967m#0.0#0.362
2	с	с	ADP	_	_	_	_	_	@dig1967m-words#@dig1967m#0.362#0.724
3	Путиным	Путин	PROPN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@dig1967m-words#@dig1967m#0.724#1.086
4	находится	находиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@dig1967m-words#@dig1967m#1.086#1.448
5	немало	немало	ADV	_	Degree=Pos	_	_	_	@dig1967m-words#@dig1967m#1.448#1.81
6	людей	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@dig1967m-words#@dig1967m#1.81#2.172
7	здравомыслящих	здравомыслящий	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@dig1967m-words#@dig1967m#2.172#2.534
8	которые	который	PRON	_	Case=Nom	_	_	_	@dig1967m-words#@dig1967m#2.534#2.896
9	имеют	иметь	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dig1967m-words#@dig1967m#2.896#3.258
10	большие	большой	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@dig1967m-words#@dig1967m#3.258#3.62
11	деньги	деньги	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@dig1967m-words#@dig1967m#3.62#3.982
12	и	и	CCONJ	_	_	_	_	_	@dig1967m-words#@dig1967m#3.982#4.344
13	эти	этот	DET	_	Case=Acc|Number=Plur	_	_	_	@dig1967m-words#@dig1967m#4.344#4.706
14	деньги	деньги	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@dig1967m-words#@dig1967m#4.706#5.068
15	под	под	ADP	_	_	_	_	_	@dig1967m-words#@dig1967m#5.068#5.43
16	угрозой	угроза	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@dig1967m-words#@dig1967m#5.43#5.792
17	сегодня	сегодня	ADV	_	Degree=Pos	_	_	_	@dig1967m-words#@dig1967m#5.792#6.161
18	заговор	заговор	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dig1967m-words#@dig1967m#19.454#19.765
19	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dig1967m-words#@dig1967m#19.765#20.076
20	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@dig1967m-words#@dig1967m#20.076#20.387
21	даже	даже	PART	_	_	_	_	_	@dig1967m-words#@dig1967m#20.387#20.698
22	против	против	ADP	_	_	_	_	_	@dig1967m-words#@dig1967m#20.698#21.009
23	фюрера	фюрер	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dig1967m-words#@dig1967m#21.009#21.32
